epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.8152,0.97605,1.17356,1.07541,0.99997,1,0.995,0.89361,0.47453,0.46968,1.00901,0.000664615,0.000664615,0.000664615
2,114.507,0.45857,0.43906,0.85634,0.99998,1,0.995,0.99105,0.27809,0.28208,0.96879,0.00128735,0.00128735,0.00128735
3,168.596,0.37725,0.34309,0.83472,0.99998,1,0.995,0.99306,0.2505,0.22988,0.96651,0.00186608,0.00186608,0.00186608
4,222.927,0.35696,0.3081,0.83223,0.99998,1,0.995,0.98147,0.23105,0.26258,0.96459,0.001802,0.001802,0.001802
5,275.306,0.31191,0.27425,0.82031,0.99998,1,0.995,0.99499,0.20024,0.22424,0.95795,0.001736,0.001736,0.001736
6,327.215,0.27353,0.24925,0.81754,0.99998,1,0.995,0.99496,0.19786,0.16402,0.95759,0.00167,0.00167,0.00167
7,380.02,0.25195,0.23046,0.80996,0.99998,1,0.995,0.99496,0.19596,0.14862,0.95606,0.001604,0.001604,0.001604
8,435.687,0.23828,0.22867,0.80673,0.99998,1,0.995,0.995,0.17051,0.15484,0.95357,0.001538,0.001538,0.001538
9,488.832,0.23607,0.21726,0.80774,0.99998,1,0.995,0.99498,0.17566,0.13005,0.95411,0.001472,0.001472,0.001472
10,541.748,0.22009,0.20199,0.80727,0.99998,1,0.995,0.99493,0.13308,0.10876,0.95019,0.001406,0.001406,0.001406
11,595.543,0.23053,0.20441,0.80938,0.99998,1,0.995,0.995,0.11005,0.12421,0.94794,0.00134,0.00134,0.00134
12,647.365,0.20405,0.19113,0.80498,0.99998,1,0.995,0.995,0.17405,0.11896,0.95399,0.001274,0.001274,0.001274
13,702.41,0.20152,0.18502,0.80634,0.99998,1,0.995,0.995,0.1181,0.11441,0.94883,0.001208,0.001208,0.001208
14,755.955,0.18936,0.17992,0.8007,0.99998,1,0.995,0.995,0.12005,0.10517,0.94786,0.001142,0.001142,0.001142
15,806.882,0.1843,0.17102,0.79855,0.99998,1,0.995,0.995,0.13352,0.12743,0.94967,0.001076,0.001076,0.001076
16,857.114,0.17994,0.169,0.80012,0.99997,1,0.995,0.995,0.1144,0.10524,0.94816,0.00101,0.00101,0.00101
17,908.945,0.17359,0.1642,0.79686,0.99998,1,0.995,0.995,0.12836,0.11716,0.94863,0.000944,0.000944,0.000944
18,959.485,0.16314,0.15779,0.80186,0.99998,1,0.995,0.995,0.12243,0.08623,0.94808,0.000878,0.000878,0.000878
19,1013.16,0.16353,0.16066,0.79219,0.99998,1,0.995,0.995,0.08951,0.10018,0.946,0.000812,0.000812,0.000812
20,1085.34,0.15485,0.15288,0.79862,0.99998,1,0.995,0.995,0.09422,0.13416,0.94564,0.000746,0.000746,0.000746
21,1156.75,0.13414,0.1306,0.79946,0.99994,1,0.995,0.995,0.07777,0.08655,0.94479,0.00068,0.00068,0.00068
22,1230.1,0.12285,0.12281,0.79741,0.99998,1,0.995,0.995,0.11684,0.09875,0.9466,0.000614,0.000614,0.000614
23,1300.57,0.1139,0.1172,0.79139,0.99998,1,0.995,0.995,0.08271,0.07391,0.94487,0.000548,0.000548,0.000548
24,1366.81,0.10837,0.11351,0.7928,0.99998,1,0.995,0.995,0.07284,0.06636,0.94422,0.000482,0.000482,0.000482
25,1429.48,0.09752,0.10228,0.79224,0.99998,1,0.995,0.995,0.05931,0.05784,0.94371,0.000416,0.000416,0.000416
26,1494.38,0.09448,0.09936,0.79014,0.99998,1,0.995,0.995,0.05569,0.05208,0.94368,0.00035,0.00035,0.00035
27,1558.23,0.08931,0.09481,0.79308,0.99998,1,0.995,0.995,0.06109,0.06403,0.94366,0.000284,0.000284,0.000284
28,1621.57,0.08506,0.09169,0.78961,0.99998,1,0.995,0.995,0.05815,0.05835,0.94352,0.000218,0.000218,0.000218
29,1686.62,0.07899,0.08615,0.78449,0.99998,1,0.995,0.995,0.05789,0.05567,0.94353,0.000152,0.000152,0.000152
30,1751.58,0.07423,0.08207,0.79031,0.99998,1,0.995,0.995,0.05475,0.05316,0.94331,8.6e-05,8.6e-05,8.6e-05
